appearedTimeOfDay,appearedHour,terrainType,closeToWater,continent,weather,temperature,windSpeed,pressure,population_density,urban,suburban,midurban,rural,gymDistanceKm,gymIn100m,gymIn250m,gymIn500m,gymIn1000m,gymIn2500m,gymIn5000m,pokestopDistanceKm,pokestopIn100m,pokestopIn250m,pokestopIn500m,pokestopIn1000m,pokestopIn2500m,pokestopIn5000m
afternoon,12,5,TRUE,Europe,PartlyCloudy,28.3,2.42,1016.5,2431.2341,TRUE,TRUE,TRUE,FALSE,0.944776,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.184928,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,1,13,FALSE,Europe,PartlyCloudy,24,7.2,1012,1055.8982,TRUE,TRUE,TRUE,FALSE,0.399021,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.028042,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,2,13,TRUE,Australia,MostlyCloudy,19.6,22.4,1000.98,0,FALSE,FALSE,FALSE,TRUE,0.188913,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.030404,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,13,0,TRUE,Europe,PartlyCloudy,12.9,1.27,1005.68,442.25146,FALSE,TRUE,TRUE,FALSE,0.267347,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.155536,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,16,13,TRUE,America,PartlyCloudy,24.2,8.51,1023.51,1312.533,TRUE,TRUE,TRUE,FALSE,0.148233,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.030236,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,15,7,FALSE,America,Clear,23.3,5.93,1003.59,635.5498,FALSE,TRUE,TRUE,FALSE,0.497725,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.506403,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
morning,8,13,FALSE,America,Clear,23.8,5.99,1014.2,849.44226,TRUE,TRUE,TRUE,FALSE,0.950287,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1.089395,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
morning,10,5,FALSE,America,PartlyCloudy,17.4,3.17,1009.88,570.0402,FALSE,TRUE,TRUE,FALSE,0.055856,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.099095,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,13,TRUE,Europe,MostlyCloudy,26.3,5.81,1018.86,0,FALSE,FALSE,FALSE,TRUE,0.5913,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.134594,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,15,13,FALSE,America,Clear,25.2,6.69,1024.09,2810.7285,TRUE,TRUE,TRUE,FALSE,0.298238,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.017913,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,18,0,TRUE,America,Rain,25.4,8.13,1017.34,0,FALSE,FALSE,FALSE,TRUE,0.590033,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.4076,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,13,7,FALSE,America,PartlyCloudy,28.1,5.5,1006.15,635.5498,FALSE,TRUE,TRUE,FALSE,0.704561,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.281111,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,14,0,TRUE,Europe,PartlyCloudy,12.9,1.27,1005.68,442.25146,FALSE,TRUE,TRUE,FALSE,0.377609,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.251054,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,1,10,FALSE,America,Clear,29.5,9.04,1012.95,172.27429,FALSE,FALSE,FALSE,TRUE,4.51855,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.654719,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
afternoon,13,14,FALSE,Asia,Clear,25.6,1.53,1005.53,355.77966,FALSE,FALSE,TRUE,FALSE,0.30996,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.264724,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
afternoon,12,13,FALSE,Europe,MostlyCloudy,21,6.1,1027.01,1220.7147,TRUE,TRUE,TRUE,FALSE,0.493427,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.047378,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,10,12,FALSE,Europe,Clear,22.6,4.5,1017.3,256.71356,FALSE,FALSE,TRUE,FALSE,0.333368,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.028095,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,13,FALSE,America,Clear,28.3,14.56,1015.95,7758.25,TRUE,TRUE,TRUE,FALSE,0.285416,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.131246,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,13,TRUE,America,PartlyCloudy,25.6,13.31,1018.1,0,FALSE,FALSE,FALSE,TRUE,0.236339,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1615,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,5,13,TRUE,America,PartlyCloudy,17.9,5.92,1009.38,256.71356,FALSE,FALSE,TRUE,FALSE,0.217077,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.239873,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,18,13,TRUE,America,PartlyCloudy,31.6,5.02,1019.48,103.692665,FALSE,FALSE,FALSE,TRUE,0.307281,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.065565,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,0,TRUE,America,Clear,25.8,3.29,1019.32,0,FALSE,FALSE,FALSE,TRUE,0.413175,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.071969,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,FALSE,America,Clear,18,2.62,1023.72,2810.7285,TRUE,TRUE,TRUE,FALSE,0.405675,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.123734,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,FALSE,Asia,Clear,27.8,6.68,1007.21,6019.0444,TRUE,TRUE,TRUE,FALSE,0.367713,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.028531,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,13,FALSE,Asia,Clear,25.1,1,1011.55,411.31375,FALSE,TRUE,TRUE,FALSE,0.231619,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.193976,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,13,TRUE,Europe,MostlyCloudy,18.5,2.87,1024.05,1886.2122,TRUE,TRUE,TRUE,FALSE,0.1223,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.081662,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,13,FALSE,Europe,Clear,27.6,5.48,1015.68,6471.7783,TRUE,TRUE,TRUE,FALSE,0.132538,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.061191,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,9,13,TRUE,Asia,Clear,31.1,6.55,1010.76,206.51929,FALSE,FALSE,TRUE,FALSE,0.302463,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.269873,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,5,0,TRUE,America,Clear,18.1,3,1009,0,FALSE,FALSE,FALSE,TRUE,0.41814,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.214276,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
